seq,expert_bytes,tensor_base,expert_idx,tensor
266,4030464,0x0,87,blk.13.ffn_up_exps.weight
267,4030464,0x0,113,blk.13.ffn_up_exps.weight
268,4030464,0x0,115,blk.13.ffn_up_exps.weight
269,4030464,0x0,144,blk.13.ffn_up_exps.weight
270,4030464,0x0,180,blk.13.ffn_up_exps.weight
271,4030464,0x0,190,blk.13.ffn_up_exps.weight
272,4030464,0x0,217,blk.13.ffn_up_exps.weight
273,4030464,0x0,62,blk.13.ffn_gate_exps.weight
274,4030464,0x0,87,blk.13.ffn_gate_exps.weight
275,4030464,0x0,113,blk.13.ffn_gate_exps.weight
276,4030464,0x0,115,blk.13.ffn_gate_exps.weight
277,4030464,0x0,144,blk.13.ffn_gate_exps.weight
278,4030464,0x0,180,blk.13.ffn_gate_exps.weight
279,4030464,0x0,190,blk.13.ffn_gate_exps.weight
280,4030464,0x0,217,blk.13.ffn_gate_exps.weight
281,4816896,0x0,62,blk.13.ffn_down_exps.weight
282,4816896,0x0,87,blk.13.ffn_down_exps.weight
283,4816896,0x0,113,blk.13.ffn_down_exps.weight
284,4816896,0x0,115,blk.13.ffn_down_exps.weight
285,4816896,0x0,144,blk.13.ffn_down_exps.weight
286,4816896,0x0,180,blk.13.ffn_down_exps.weight
287,4816896,0x0,190,blk.13.ffn_down_exps.weight
288,4816896,0x0,217,blk.13.ffn_down_exps.weight
289,4030464,0x0,8,blk.14.ffn_up_exps.weight
290,4030464,0x0,77,blk.14.ffn_up_exps.weight
291,4030464,0x0,89,blk.14.ffn_up_exps.weight
292,4030464,0x0,124,blk.14.ffn_up_exps.weight
293,4030464,0x0,172,blk.14.ffn_up_exps.weight
294,4030464,0x0,213,blk.14.ffn_up_exps.weight
295,4030464,0x0,223,blk.14.ffn_up_exps.weight
296,4030464,0x0,236,blk.14.ffn_up_exps.weight
297,4030464,0x0,8,blk.14.ffn_gate_exps.weight
298,4030464,0x0,77,blk.14.ffn_gate_exps.weight
299,4030464,0x0,89,blk.14.ffn_gate_exps.weight
300,4030464,0x0,124,blk.14.ffn_gate_exps.weight
301,4030464,0x0,172,blk.14.ffn_gate_exps.weight
302,4030464,0x0,213,blk.14.ffn_gate_exps.weight
303,4030464,0x0,223,blk.14.ffn_gate_exps.weight
304,4030464,0x0,236,blk.14.ffn_gate_exps.weight
305,4816896,0x0,8,blk.14.ffn_down_exps.weight
306,4816896,0x0,77,blk.14.ffn_down_exps.weight
307,4816896,0x0,89,blk.14.ffn_down_exps.weight
308,4816896,0x0,124,blk.14.ffn_down_exps.weight
309,4816896,0x0,172,blk.14.ffn_down_exps.weight
310,4816896,0x0,213,blk.14.ffn_down_exps.weight
311,4816896,0x0,223,blk.14.ffn_down_exps.weight
312,4816896,0x0,236,blk.14.ffn_down_exps.weight
313,4030464,0x0,5,blk.15.ffn_up_exps.weight
314,4030464,0x0,12,blk.15.ffn_up_exps.weight
315,4030464,0x0,15,blk.15.ffn_up_exps.weight
316,4030464,0x0,70,blk.15.ffn_up_exps.weight
317,4030464,0x0,137,blk.15.ffn_up_exps.weight
318,4030464,0x0,144,blk.15.ffn_up_exps.weight
319,4030464,0x0,159,blk.15.ffn_up_exps.weight
320,4030464,0x0,164,blk.15.ffn_up_exps.weight
321,4030464,0x0,5,blk.15.ffn_gate_exps.weight
322,4030464,0x0,12,blk.15.ffn_gate_exps.weight
323,4030464,0x0,15,blk.15.ffn_gate_exps.weight
324,4030464,0x0,70,blk.15.ffn_gate_exps.weight
325,4030464,0x0,137,blk.15.ffn_gate_exps.weight
326,4030464,0x0,144,blk.15.ffn_gate_exps.weight
327,4030464,0x0,159,blk.15.ffn_gate_exps.weight
328,4030464,0x0,164,blk.15.ffn_gate_exps.weight
329,4816896,0x0,5,blk.15.ffn_down_exps.weight
330,4816896,0x0,12,blk.15.ffn_down_exps.weight
331,4816896,0x0,15,blk.15.ffn_down_exps.weight
332,4816896,0x0,70,blk.15.ffn_down_exps.weight
333,4816896,0x0,137,blk.15.ffn_down_exps.weight
334,4816896,0x0,144,blk.15.ffn_down_exps.weight
335,4816896,0x0,159,blk.15.ffn_down_exps.weight
336,4816896,0x0,164,blk.15.ffn_down_exps.weight
337,4030464,0x0,26,blk.16.ffn_up_exps.weight
338,4030464,0x0,64,blk.16.ffn_up_exps.weight
339,4030464,0x0,65,blk.16.ffn_up_exps.weight
340,4030464,0x0,108,blk.16.ffn_up_exps.weight
