# fastllm_disk_moe_route_profile_v1
# merge_runs=2405 routed_refs=17571
layer	expert	hits	bytes_per_hit	total_bytes
12	124	9	13369344	120324096
12	230	9	13369344	120324096
12	250	9	13369344	120324096
13	59	9	13369344	120324096
13	153	9	13369344	120324096
13	159	9	13369344	120324096
15	135	9	13369344	120324096
15	240	9	13369344	120324096
16	124	9	13369344	120324096
16	181	9	13369344	120324096
16	184	9	13369344	120324096
16	188	9	13369344	120324096
17	33	9	13369344	120324096
17	69	9	13369344	120324096
17	231	9	13369344	120324096
17	247	9	13369344	120324096
18	39	9	13369344	120324096
18	73	9	13369344	120324096
18	173	9	13369344	120324096
19	92	9	13369344	120324096
19	122	9	13369344	120324096
19	165	9	13369344	120324096
19	177	9	13369344	120324096
19	232	9	13369344	120324096
20	7	9	13369344	120324096
20	109	9	13369344	120324096
20	138	9	13369344	120324096
21	37	9	13369344	120324096
21	45	9	13369344	120324096
21	177	9	13369344	120324096
21	221	9	13369344	120324096
23	147	9	13369344	120324096
23	216	9	13369344	120324096
24	152	9	13369344	120324096
24	209	9	13369344	120324096
25	236	9	13369344	120324096
27	16	9	13369344	120324096
29	140	9	13369344	120324096
30	226	9	13369344	120324096
31	82	9	13369344	120324096
31	110	9	13369344	120324096
31	128	9	13369344	120324096
31	242	9	13369344	120324096
33	60	9	13369344	120324096
33	62	9	13369344	120324096
33	90	9	13369344	120324096
34	80	9	13369344	120324096
35	103	9	13369344	120324096
35	141	9	13369344	120324096
36	204	9	13369344	120324096
37	59	9	13369344	120324096
37	144	9	13369344	120324096
37	159	9	13369344	120324096
39	238	9	13369344	120324096
41	40	9	13369344	120324096
41	204	9	13369344	120324096
41	250	9	13369344	120324096
6	141	8	13369344	106954752
6	197	8	13369344	106954752
7	113	8	13369344	106954752
7	216	8	13369344	106954752
7	236	8	13369344	106954752
8	32	8	13369344	106954752
8	83	8	13369344	106954752
8	91	8	13369344	106954752
9	173	8	13369344	106954752
9	207	8	13369344	106954752
10	18	8	13369344	106954752
10	23	8	13369344	106954752
10	63	8	13369344	106954752
10	150	8	13369344	106954752
10	168	8	13369344	106954752
11	32	8	13369344	106954752
11	44	8	13369344	106954752
11	185	8	13369344	106954752
11	201	8	13369344	106954752
12	14	8	13369344	106954752
12	34	8	13369344	106954752
12	54	8	13369344	106954752
12	142	8	13369344	106954752
13	41	8	13369344	106954752
13	182	8	13369344	106954752
14	59	8	13369344	106954752
14	95	8	13369344	106954752
14	112	8	13369344	106954752
14	122	8	13369344	106954752
14	156	8	13369344	106954752
15	5	8	13369344	106954752
15	48	8	13369344	106954752
15	83	8	13369344	106954752
15	99	8	13369344	106954752
16	176	8	13369344	106954752
16	227	8	13369344	106954752
17	68	8	13369344	106954752
