seq,expert_bytes,tensor_base,expert_idx,tensor
294,4030464,0x0,193,blk.14.ffn_up_exps.weight
295,4030464,0x0,222,blk.14.ffn_up_exps.weight
296,4030464,0x0,236,blk.14.ffn_up_exps.weight
297,4030464,0x0,51,blk.14.ffn_gate_exps.weight
299,4030464,0x0,89,blk.14.ffn_gate_exps.weight
300,4030464,0x0,154,blk.14.ffn_gate_exps.weight
301,4030464,0x0,167,blk.14.ffn_gate_exps.weight
302,4030464,0x0,193,blk.14.ffn_gate_exps.weight
303,4030464,0x0,222,blk.14.ffn_gate_exps.weight
304,4030464,0x0,236,blk.14.ffn_gate_exps.weight
305,4816896,0x0,51,blk.14.ffn_down_exps.weight
307,4816896,0x0,89,blk.14.ffn_down_exps.weight
308,4816896,0x0,154,blk.14.ffn_down_exps.weight
309,4816896,0x0,167,blk.14.ffn_down_exps.weight
310,4816896,0x0,193,blk.14.ffn_down_exps.weight
311,4816896,0x0,222,blk.14.ffn_down_exps.weight
312,4816896,0x0,236,blk.14.ffn_down_exps.weight
313,4030464,0x0,12,blk.15.ffn_up_exps.weight
315,4030464,0x0,70,blk.15.ffn_up_exps.weight
317,4030464,0x0,159,blk.15.ffn_up_exps.weight
318,4030464,0x0,172,blk.15.ffn_up_exps.weight
319,4030464,0x0,226,blk.15.ffn_up_exps.weight
320,4030464,0x0,242,blk.15.ffn_up_exps.weight
321,4030464,0x0,12,blk.15.ffn_gate_exps.weight
323,4030464,0x0,70,blk.15.ffn_gate_exps.weight
325,4030464,0x0,159,blk.15.ffn_gate_exps.weight
326,4030464,0x0,172,blk.15.ffn_gate_exps.weight
327,4030464,0x0,226,blk.15.ffn_gate_exps.weight
328,4030464,0x0,242,blk.15.ffn_gate_exps.weight
329,4816896,0x0,12,blk.15.ffn_down_exps.weight
331,4816896,0x0,70,blk.15.ffn_down_exps.weight
333,4816896,0x0,159,blk.15.ffn_down_exps.weight
334,4816896,0x0,172,blk.15.ffn_down_exps.weight
335,4816896,0x0,226,blk.15.ffn_down_exps.weight
336,4816896,0x0,242,blk.15.ffn_down_exps.weight
337,4030464,0x0,14,blk.16.ffn_up_exps.weight
339,4030464,0x0,110,blk.16.ffn_up_exps.weight
340,4030464,0x0,130,blk.16.ffn_up_exps.weight
341,4030464,0x0,210,blk.16.ffn_up_exps.weight
345,4030464,0x0,14,blk.16.ffn_gate_exps.weight
347,4030464,0x0,110,blk.16.ffn_gate_exps.weight
348,4030464,0x0,130,blk.16.ffn_gate_exps.weight
349,4030464,0x0,210,blk.16.ffn_gate_exps.weight
353,4816896,0x0,14,blk.16.ffn_down_exps.weight
355,4816896,0x0,110,blk.16.ffn_down_exps.weight
356,4816896,0x0,130,blk.16.ffn_down_exps.weight
357,4816896,0x0,210,blk.16.ffn_down_exps.weight
362,4030464,0x0,34,blk.17.ffn_up_exps.weight
363,4030464,0x0,84,blk.17.ffn_up_exps.weight
364,4030464,0x0,125,blk.17.ffn_up_exps.weight
365,4030464,0x0,151,blk.17.ffn_up_exps.weight
366,4030464,0x0,155,blk.17.ffn_up_exps.weight
367,4030464,0x0,171,blk.17.ffn_up_exps.weight
370,4030464,0x0,34,blk.17.ffn_gate_exps.weight
371,4030464,0x0,84,blk.17.ffn_gate_exps.weight
372,4030464,0x0,125,blk.17.ffn_gate_exps.weight
373,4030464,0x0,151,blk.17.ffn_gate_exps.weight
374,4030464,0x0,155,blk.17.ffn_gate_exps.weight
375,4030464,0x0,171,blk.17.ffn_gate_exps.weight
378,4816896,0x0,34,blk.17.ffn_down_exps.weight
379,4816896,0x0,84,blk.17.ffn_down_exps.weight
380,4816896,0x0,125,blk.17.ffn_down_exps.weight
381,4816896,0x0,151,blk.17.ffn_down_exps.weight
382,4816896,0x0,155,blk.17.ffn_down_exps.weight
383,4816896,0x0,171,blk.17.ffn_down_exps.weight
387,4030464,0x0,114,blk.18.ffn_up_exps.weight
