scope,prompt,top_k,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
fold,dev_zh_france,64,gate,2941,1.0,23528,0.5226538592315539,0.06533173240394424,0.5186096616793129,8.0
fold,dev_zh_france,64,up,2941,1.0,23528,0.5226538592315539,0.06533173240394424,0.5192833273660341,8.0
aggregate,all,128,all,84445,1.0,675560,0.6010302563798923,0.03756439102374327,0.6009093773477363,16.0
aggregate,all,128,down,25871,1.0,206968,0.6009141509798617,0.037557134436241355,0.6029048393197481,16.0
aggregate,all,128,gate,29287,1.0,234296,0.6010815378837027,0.03756759611773142,0.5992103010984576,16.0
aggregate,all,128,up,29287,1.0,234296,0.6010815378837027,0.03756759611773142,0.6003562511235843,16.0
fold,dev_france_regression,128,all,13324,1.0,106592,0.7793455418793155,0.04870909636745722,0.7791659974177287,16.0
fold,dev_france_regression,128,down,4082,1.0,32656,0.7808672219500244,0.04880420137187653,0.7819790548025131,16.0
fold,dev_france_regression,128,gate,4621,1.0,36968,0.7786734473057779,0.04866709045661112,0.7776800644517619,16.0
fold,dev_france_regression,128,up,4621,1.0,36968,0.7786734473057779,0.04866709045661112,0.7774031912577161,16.0
fold,dev_japan_factual,128,all,14708,1.0,117664,0.7161153793853685,0.04475721121158553,0.7162396746825455,16.0
fold,dev_japan_factual,128,down,4506,1.0,36048,0.7181813138038171,0.04488633211273857,0.7205192653874143,16.0
fold,dev_japan_factual,128,gate,5101,1.0,40808,0.7152029013918839,0.044700181336992745,0.7133490191751991,16.0
fold,dev_japan_factual,128,up,5101,1.0,40808,0.7152029013918839,0.044700181336992745,0.7142390212350165,16.0
fold,dev_linear_equation,128,all,5885,1.0,47080,0.5382965165675446,0.03364353228547154,0.5379098468133613,16.0
fold,dev_linear_equation,128,down,1803,1.0,14424,0.5380615640599001,0.03362884775374376,0.5389601221414965,16.0
fold,dev_linear_equation,128,gate,2041,1.0,16328,0.5384002939735424,0.0336500183733464,0.5365905065908778,16.0
fold,dev_linear_equation,128,up,2041,1.0,16328,0.5384002939735424,0.0336500183733464,0.5380782459157352,16.0
fold,dev_mixed_summary,128,all,9345,1.0,74760,0.532597645799893,0.03328735286249331,0.5331622373279956,16.0
fold,dev_mixed_summary,128,down,2863,1.0,22904,0.5334002794271743,0.03333751746419839,0.5335947531180488,16.0
fold,dev_mixed_summary,128,gate,3241,1.0,25928,0.5322431348349275,0.03326519592718297,0.5328075225228234,16.0
fold,dev_mixed_summary,128,up,3241,1.0,25928,0.5322431348349275,0.03326519592718297,0.5330276885310999,16.0
fold,dev_photosynthesis_factual,128,all,16265,1.0,130120,0.5466415616354134,0.03416509760221334,0.5470181019747954,16.0
fold,dev_photosynthesis_factual,128,down,4983,1.0,39864,0.5446769014649809,0.03404230634156131,0.5485424914019721,16.0
fold,dev_photosynthesis_factual,128,gate,5641,1.0,45128,0.5475093068604857,0.03421933167878036,0.544509759532187,16.0
fold,dev_photosynthesis_factual,128,up,5641,1.0,45128,0.5475093068604857,0.03421933167878036,0.547904092257275,16.0
fold,dev_python_reverse,128,all,16438,1.0,131504,0.42583495559070444,0.026614684724419028,0.42578065341542126,16.0
fold,dev_python_reverse,128,down,5036,1.0,40288,0.4256106036536934,0.026600662728355838,0.4275454078135709,16.0
fold,dev_python_reverse,128,gate,5701,1.0,45608,0.42593404665848095,0.02662087791615506,0.42443780871638526,16.0
fold,dev_python_reverse,128,up,5701,1.0,45608,0.42593404665848095,0.02662087791615506,0.42511872560327385,16.0
fold,dev_zh_france,128,all,8480,1.0,67840,0.6841244103773585,0.042757775648584906,0.6820161442964746,16.0
fold,dev_zh_france,128,down,2598,1.0,20784,0.6804753656658968,0.04252971035411855,0.6824944862954548,16.0
fold,dev_zh_france,128,gate,2941,1.0,23528,0.6857361441686501,0.042858509010540634,0.6811656866136285,16.0
fold,dev_zh_france,128,up,2941,1.0,23528,0.6857361441686501,0.042858509010540634,0.6823626526634046,16.0
