predictor,horizon,budget,bundle,samples,recall,precision,full_step_pct,pred_over_actual_bytes,predicted_gib_per_token,useful_gib_per_token,waste_gib_per_token
hybrid_cooc,3,24,all,12369,0.5233,0.1744,0.0143,3.0000,21.7075,3.7808,17.9268
hybrid_cooc,3,24,upgate,12369,0.5233,0.1744,0.0143,3.0000,12.9661,2.2544,10.7117
hybrid_cooc,3,24,down,12369,0.5233,0.1744,0.0143,3.0000,8.7415,1.5264,7.2151
cooc,2,64,all,12586,0.4975,0.0622,0.0425,8.0000,58.9326,3.6636,55.2690
cooc,2,64,upgate,12586,0.4975,0.0622,0.0425,8.0000,35.2461,2.1838,33.0623
cooc,2,64,down,12586,0.4975,0.0622,0.0425,8.0000,23.6865,1.4799,22.2066
cooc,3,64,all,12369,0.4970,0.0621,0.0445,8.0000,57.8867,3.5948,54.2919
cooc,3,64,upgate,12369,0.4970,0.0621,0.0445,8.0000,34.5762,2.1394,32.4368
cooc,3,64,down,12369,0.4970,0.0621,0.0445,8.0000,23.3105,1.4554,21.8552
cooc,1,64,all,12803,0.4960,0.0620,0.0426,8.0000,59.9785,3.7186,56.2599
cooc,1,64,upgate,12803,0.4960,0.0620,0.0426,8.0000,35.9160,2.2191,33.6970
cooc,1,64,down,12803,0.4960,0.0620,0.0426,8.0000,24.0625,1.4996,22.5629
cooc,4,64,all,12152,0.4942,0.0618,0.0408,8.0000,56.7520,3.5041,53.2479
cooc,4,64,upgate,12152,0.4942,0.0618,0.0408,8.0000,33.9062,2.0859,31.8203
cooc,4,64,down,12152,0.4942,0.0618,0.0408,8.0000,22.8457,1.4181,21.4276
recent_lfu,4,32,upgate,12152,0.4908,0.1921,0.0113,2.5555,10.8309,2.0777,8.7532
recent_lfu,4,48,upgate,12152,0.4908,0.1921,0.0113,2.5555,10.8309,2.0777,8.7532
recent_lfu,4,64,upgate,12152,0.4908,0.1921,0.0113,2.5555,10.8309,2.0777,8.7532
recent_lfu,4,32,all,12152,0.4908,0.1921,0.0113,2.5569,18.1385,3.4773,14.6613
recent_lfu,4,48,all,12152,0.4908,0.1921,0.0113,2.5569,18.1385,3.4773,14.6613
recent_lfu,4,64,all,12152,0.4908,0.1921,0.0113,2.5569,18.1385,3.4773,14.6613
recent_lfu,4,32,down,12152,0.4908,0.1921,0.0113,2.5589,7.3076,1.3995,5.9081
recent_lfu,4,48,down,12152,0.4908,0.1921,0.0113,2.5589,7.3076,1.3995,5.9081
recent_lfu,4,64,down,12152,0.4908,0.1921,0.0113,2.5589,7.3076,1.3995,5.9081
recent_lfu,3,32,upgate,12369,0.4893,0.1912,0.0111,2.5608,11.0677,2.1120,8.9556
recent_lfu,3,48,upgate,12369,0.4893,0.1912,0.0111,2.5608,11.0677,2.1120,8.9556
recent_lfu,3,64,upgate,12369,0.4893,0.1912,0.0111,2.5608,11.0677,2.1120,8.9556
recent_lfu,3,32,all,12369,0.4893,0.1912,0.0111,2.5622,18.5396,3.5354,15.0042
recent_lfu,3,48,all,12369,0.4893,0.1912,0.0111,2.5622,18.5396,3.5354,15.0042
recent_lfu,3,64,all,12369,0.4893,0.1912,0.0111,2.5622,18.5396,3.5354,15.0042
recent_lfu,3,32,down,12369,0.4893,0.1912,0.0111,2.5643,7.4719,1.4233,6.0486
recent_lfu,3,48,down,12369,0.4893,0.1912,0.0111,2.5643,7.4719,1.4233,6.0486
recent_lfu,3,64,down,12369,0.4893,0.1912,0.0111,2.5643,7.4719,1.4233,6.0486
recent_lfu,1,32,upgate,12803,0.4878,0.1902,0.0109,2.5660,11.5199,2.1863,9.3336
recent_lfu,1,48,upgate,12803,0.4878,0.1902,0.0109,2.5660,11.5199,2.1863,9.3336
recent_lfu,1,64,upgate,12803,0.4878,0.1902,0.0109,2.5660,11.5199,2.1863,9.3336
recent_lfu,1,32,all,12803,0.4878,0.1902,0.0109,2.5670,19.2457,3.6513,15.5943
recent_lfu,1,48,all,12803,0.4878,0.1902,0.0109,2.5670,19.2457,3.6513,15.5943
recent_lfu,1,64,all,12803,0.4878,0.1902,0.0109,2.5670,19.2457,3.6513,15.5943
recent_lfu,1,32,down,12803,0.4878,0.1902,0.0109,2.5686,7.7257,1.4650,6.2607
recent_lfu,1,48,down,12803,0.4878,0.1902,0.0109,2.5686,7.7257,1.4650,6.2607
recent_lfu,1,64,down,12803,0.4878,0.1902,0.0109,2.5686,7.7257,1.4650,6.2607
recent_lfu,2,32,upgate,12586,0.4878,0.1902,0.0110,2.5654,11.3027,2.1454,9.1574
recent_lfu,2,48,upgate,12586,0.4878,0.1902,0.0110,2.5654,11.3027,2.1454,9.1574
recent_lfu,2,64,upgate,12586,0.4878,0.1902,0.0110,2.5654,11.3027,2.1454,9.1574
recent_lfu,2,32,all,12586,0.4878,0.1902,0.0110,2.5665,18.9065,3.5874,15.3191
recent_lfu,2,48,all,12586,0.4878,0.1902,0.0110,2.5665,18.9065,3.5874,15.3191
recent_lfu,2,64,all,12586,0.4878,0.1902,0.0110,2.5665,18.9065,3.5874,15.3191
recent_lfu,2,32,down,12586,0.4878,0.1902,0.0110,2.5681,7.6038,1.4420,6.1618
recent_lfu,2,48,down,12586,0.4878,0.1902,0.0110,2.5681,7.6038,1.4420,6.1618
recent_lfu,2,64,down,12586,0.4878,0.1902,0.0110,2.5681,7.6038,1.4420,6.1618
recent_lfu,4,24,upgate,12152,0.4848,0.1942,0.0109,2.4968,10.5823,2.0522,8.5301
recent_lfu,4,24,all,12152,0.4848,0.1942,0.0109,2.4985,17.7242,3.4347,14.2895
recent_lfu,4,24,down,12152,0.4848,0.1942,0.0109,2.5009,7.1419,1.3825,5.7594
recent_lfu,3,24,upgate,12369,0.4833,0.1933,0.0108,2.5007,10.8079,2.0857,8.7222
recent_lfu,3,24,all,12369,0.4833,0.1933,0.0108,2.5023,18.1063,3.4914,14.6149
recent_lfu,3,24,down,12369,0.4833,0.1933,0.0108,2.5048,7.2984,1.4057,5.8927
recent_lfu,1,24,upgate,12803,0.4818,0.1924,0.0106,2.5048,11.2454,2.1589,9.0865
recent_lfu,1,24,all,12803,0.4818,0.1924,0.0106,2.5062,18.7894,3.6057,15.1837
recent_lfu,1,24,down,12803,0.4818,0.1924,0.0106,2.5081,7.5440,1.4468,6.0972
recent_lfu,2,24,upgate,12586,0.4817,0.1924,0.0106,2.5042,11.0327,2.1184,8.9144
recent_lfu,2,24,all,12586,0.4817,0.1924,0.0106,2.5056,18.4574,3.5424,14.9149
recent_lfu,2,24,down,12586,0.4817,0.1924,0.0106,2.5076,7.4246,1.4241,6.0006
hybrid_balanced,4,16,all,12152,0.4785,0.2392,0.0063,2.0000,14.1880,3.3895,10.7985
hybrid_balanced,4,16,upgate,12152,0.4785,0.2392,0.0063,2.0000,8.4766,2.0226,6.4540
hybrid_balanced,4,16,down,12152,0.4785,0.2392,0.0063,2.0000,5.7114,1.3669,4.3445
hybrid_prev,4,16,all,12152,0.4777,0.2388,0.0063,2.0000,14.1880,3.3842,10.8038
hybrid_prev,4,16,upgate,12152,0.4777,0.2388,0.0063,2.0000,8.4766,2.0194,6.4572
hybrid_prev,4,16,down,12152,0.4777,0.2388,0.0063,2.0000,5.7114,1.3648,4.3466
hybrid_recent,4,16,all,12152,0.4777,0.2388,0.0068,2.0000,14.1880,3.3845,10.8035
hybrid_recent,4,16,upgate,12152,0.4777,0.2388,0.0068,2.0000,8.4766,2.0206,6.4559
