prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,global_hot,2,24,upgate,1798,14384,43152,6132,0.4263,0.1421,0.0000,3.0000,136.5786,409.7358,58.0892,351.6466
dev_france_regression,global_hot,2,24,down,1798,14384,43152,6132,0.4263,0.1421,0.0000,3.0000,91.7853,275.3558,39.1548,236.2011
dev_france_regression,global_hot,2,32,all,1798,14384,57536,6830,0.4748,0.1187,0.0006,4.0000,228.3639,913.4556,108.4082,805.0473
dev_france_regression,global_hot,2,32,upgate,1798,14384,57536,6830,0.4748,0.1187,0.0006,4.0000,136.5786,546.3145,64.7829,481.5316
dev_france_regression,global_hot,2,32,down,1798,14384,57536,6830,0.4748,0.1187,0.0006,4.0000,91.7853,367.1411,43.6254,323.5158
dev_france_regression,global_hot,2,48,all,1798,14384,86304,7980,0.5548,0.0925,0.0078,6.0000,228.3639,1370.1833,126.6106,1243.5727
dev_france_regression,global_hot,2,48,upgate,1798,14384,86304,7980,0.5548,0.0925,0.0078,6.0000,136.5786,819.4717,75.6226,743.8491
dev_france_regression,global_hot,2,48,down,1798,14384,86304,7980,0.5548,0.0925,0.0078,6.0000,91.7853,550.7117,50.9881,499.7236
dev_france_regression,global_hot,2,64,all,1798,14384,115072,8874,0.6169,0.0771,0.0323,8.0000,228.3639,1826.9111,140.7517,1686.1594
dev_france_regression,global_hot,2,64,upgate,1798,14384,115072,8874,0.6169,0.0771,0.0323,8.0000,136.5786,1092.6289,84.0346,1008.5943
dev_france_regression,global_hot,2,64,down,1798,14384,115072,8874,0.6169,0.0771,0.0323,8.0000,91.7853,734.2822,56.7171,677.5651
dev_france_regression,cooc,2,8,all,1798,14384,14384,5310,0.3692,0.3692,0.0000,1.0000,228.3639,228.3639,84.1000,144.2639
