tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.1.ffn_up_exps.weight,157,7719750912,4456448,4096x2048x256,256,2.273000,3
blk.2.ffn_up_exps.weight,157,11315910912,4456448,4096x2048x256,256,2.270000,2
blk.19.ffn_up_exps.weight,5,71531741952,4456448,4096x2048x256,256,2.267000,2
blk.0.ffn_down_exps.weight,201,2067946240,4456448,2048x4096x256,256,2.263000,9
blk.0.ffn_down_exps.weight,205,2085772032,4456448,2048x4096x256,256,2.263000,3
blk.0.ffn_down_exps.weight,24,1279154944,4456448,2048x4096x256,256,2.263000,9
blk.0.ffn_down_exps.weight,42,1359371008,4456448,2048x4096x256,256,2.263000,9
blk.1.ffn_up_exps.weight,108,7501384960,4456448,4096x2048x256,256,2.263000,2
blk.11.ffn_down_exps.weight,110,41058781952,4456448,2048x4096x256,256,2.263000,2
blk.30.ffn_down_exps.weight,104,109108269312,4456448,2048x4096x256,256,2.263000,12
blk.2.ffn_up_exps.weight,232,11650144512,4456448,4096x2048x256,256,2.261000,3
blk.36.ffn_down_exps.weight,23,130241686272,4456448,2048x4096x256,256,2.256000,19
blk.0.ffn_up_exps.weight,137,4064434944,4456448,4096x2048x256,256,2.255000,4
blk.1.ffn_down_exps.weight,203,5643046144,4456448,2048x4096x256,256,2.255000,1
blk.1.ffn_down_exps.weight,30,4872080640,4456448,2048x4096x256,256,2.255000,1
blk.21.ffn_down_exps.weight,1,76397011200,4456448,2048x4096x256,256,2.255000,5
blk.3.ffn_down_exps.weight,81,12270359296,4456448,2048x4096x256,256,2.254000,7
blk.19.ffn_up_exps.weight,141,72137818880,4456448,4096x2048x256,256,2.248000,2
blk.20.ffn_down_exps.weight,134,73417980672,4456448,2048x4096x256,256,2.248000,5
blk.1.ffn_down_exps.weight,194,5602938112,4456448,2048x4096x256,256,2.246000,2
blk.3.ffn_down_exps.weight,141,12537746176,4456448,2048x4096x256,256,2.242000,6
blk.4.ffn_down_exps.weight,207,16424930048,4456448,2048x4096x256,256,2.236000,1
blk.2.ffn_down_exps.weight,128,8904972544,4456448,2048x4096x256,256,2.235000,5
