tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.8.ffn_up_exps.weight,115,32626231040,4456448,4096x2048x256,256,3.062000,35
blk.38.ffn_up_exps.weight,121,140124915968,4456448,4096x2048x256,256,3.060000,31
blk.3.ffn_down_exps.weight,228,12925457152,4456448,2048x4096x256,256,3.046000,32
blk.8.ffn_down_exps.weight,115,30344529664,4456448,2048x4096x256,256,3.038000,35
blk.12.ffn_up_exps.weight,41,46626046720,4456448,4096x2048x256,256,3.026000,34
blk.38.ffn_down_exps.weight,121,137843214592,4456448,2048x4096x256,256,2.989000,31
blk.3.ffn_down_exps.weight,149,12573397760,4456448,2048x4096x256,256,2.979000,32
blk.38.ffn_up_exps.weight,148,140245240064,4456448,4096x2048x256,256,2.940000,30
blk.33.ffn_up_exps.weight,230,122688017664,4456448,4096x2048x256,256,2.926000,33
blk.3.ffn_up_exps.weight,228,15207158528,4456448,4096x2048x256,256,2.897000,32
blk.3.ffn_up_exps.weight,149,14855099136,4456448,4096x2048x256,256,2.883000,32
blk.15.ffn_up_exps.weight,24,57286821632,4456448,4096x2048x256,256,2.856000,33
blk.13.ffn_up_exps.weight,106,50487453952,4456448,4096x2048x256,256,2.812000,29
blk.15.ffn_down_exps.weight,24,55005120256,4456448,2048x4096x256,256,2.812000,33
blk.33.ffn_down_exps.weight,230,120406316288,4456448,2048x4096x256,256,2.796000,33
blk.38.ffn_down_exps.weight,148,137963538688,4456448,2048x4096x256,256,2.789000,30
blk.15.ffn_up_exps.weight,144,57821595392,4456448,4096x2048x256,256,2.788000,31
blk.12.ffn_down_exps.weight,41,44344345344,4456448,2048x4096x256,256,2.777000,34
blk.13.ffn_down_exps.weight,106,48205752576,4456448,2048x4096x256,256,2.765000,29
blk.13.ffn_down_exps.weight,159,48441944320,4456448,2048x4096x256,256,2.728000,28
blk.15.ffn_down_exps.weight,144,55539894016,4456448,2048x4096x256,256,2.696000,31
blk.16.ffn_up_exps.weight,219,61748887296,4456448,4096x2048x256,256,2.685000,28
blk.33.ffn_up_exps.weight,70,121974985984,4456448,4096x2048x256,256,2.679000,28
blk.13.ffn_up_exps.weight,159,50723645696,4456448,4096x2048x256,256,2.673000,28
blk.6.ffn_down_exps.weight,97,23099517184,4456448,2048x4096x256,256,2.671000,30
blk.16.ffn_down_exps.weight,219,59467185920,4456448,2048x4096x256,256,2.659000,28
blk.9.ffn_down_exps.weight,242,34482236672,4456448,2048x4096x256,256,2.659000,31
blk.12.ffn_up_exps.weight,191,47294513920,4456448,4096x2048x256,256,2.646000,29
blk.9.ffn_up_exps.weight,242,36763938048,4456448,4096x2048x256,256,2.639000,31
blk.21.ffn_up_exps.weight,236,79725977856,4456448,4096x2048x256,256,2.623000,33
blk.21.ffn_up_exps.weight,241,79748260096,4456448,4096x2048x256,256,2.601000,29
blk.35.ffn_up_exps.weight,7,128859026176,4456448,4096x2048x256,256,2.598000,26
blk.12.ffn_down_exps.weight,191,45012812544,4456448,2048x4096x256,256,2.562000,29
blk.6.ffn_up_exps.weight,97,25381218560,4456448,4096x2048x256,256,2.561000,30
blk.9.ffn_down_exps.weight,173,34174741760,4456448,2048x4096x256,256,2.560000,27
blk.8.ffn_down_exps.weight,174,30607460096,4456448,2048x4096x256,256,2.546000,26
blk.21.ffn_down_exps.weight,236,77444276480,4456448,2048x4096x256,256,2.542000,33
blk.9.ffn_up_exps.weight,173,36456443136,4456448,4096x2048x256,256,2.531000,27
blk.21.ffn_down_exps.weight,241,77466558720,4456448,2048x4096x256,256,2.528000,29
blk.22.ffn_up_exps.weight,125,82824370432,4456448,4096x2048x256,256,2.515000,26
blk.7.ffn_down_exps.weight,159,26947555072,4456448,2048x4096x256,256,2.506000,28
blk.36.ffn_up_exps.weight,120,132955663104,4456448,4096x2048x256,256,2.489000,27
blk.35.ffn_down_exps.weight,7,126577324800,4456448,2048x4096x256,256,2.486000,26
blk.5.ffn_up_exps.weight,200,22247174400,4456448,4096x2048x256,256,2.482000,26
blk.28.ffn_up_exps.weight,41,103944418048,4456448,4096x2048x256,256,2.473000,32
blk.33.ffn_down_exps.weight,70,119693284608,4456448,2048x4096x256,256,2.457000,28
blk.18.ffn_up_exps.weight,26,68053589248,4456448,4096x2048x256,256,2.452000,29
blk.36.ffn_down_exps.weight,120,130673961728,4456448,2048x4096x256,256,2.452000,27
blk.5.ffn_down_exps.weight,200,19965473024,4456448,2048x4096x256,256,2.448000,26
blk.18.ffn_down_exps.weight,26,65771887872,4456448,2048x4096x256,256,2.444000,29
blk.28.ffn_down_exps.weight,41,101662716672,4456448,2048x4096x256,256,2.443000,32
blk.24.ffn_up_exps.weight,195,90301118208,4456448,4096x2048x256,256,2.434000,26
blk.25.ffn_down_exps.weight,28,90846928128,4456448,2048x4096x256,256,2.429000,24
blk.5.ffn_up_exps.weight,46,21560881408,4456448,4096x2048x256,256,2.428000,25
blk.13.ffn_down_exps.weight,14,47795759360,4456448,2048x4096x256,256,2.414000,25
blk.39.ffn_up_exps.weight,163,143883824896,4456448,4096x2048x256,256,2.413000,26
blk.22.ffn_down_exps.weight,125,80542669056,4456448,2048x4096x256,256,2.412000,26
blk.5.ffn_down_exps.weight,46,19279180032,4456448,2048x4096x256,256,2.409000,25
blk.7.ffn_up_exps.weight,159,29229256448,4456448,4096x2048x256,256,2.405000,28
blk.32.ffn_up_exps.weight,102,118545854208,4456448,4096x2048x256,256,2.389000,31
blk.25.ffn_up_exps.weight,28,93128629504,4456448,4096x2048x256,256,2.378000,24
blk.8.ffn_up_exps.weight,174,32889161472,4456448,4096x2048x256,256,2.376000,26
blk.32.ffn_down_exps.weight,102,116264152832,4456448,2048x4096x256,256,2.335000,31
blk.36.ffn_up_exps.weight,161,133138377472,4456448,4096x2048x256,256,2.323000,23
blk.39.ffn_down_exps.weight,163,141602123520,4456448,2048x4096x256,256,2.318000,26
blk.13.ffn_up_exps.weight,14,50077460736,4456448,4096x2048x256,256,2.313000,25
blk.26.ffn_down_exps.weight,105,94783132928,4456448,2048x4096x256,256,2.292000,25
blk.24.ffn_down_exps.weight,195,88019416832,4456448,2048x4096x256,256,2.285000,26
blk.26.ffn_up_exps.weight,105,97064834304,4456448,4096x2048x256,256,2.281000,25
blk.7.ffn_down_exps.weight,112,26738102016,4456448,2048x4096x256,256,2.255000,25
blk.38.ffn_up_exps.weight,42,139772856576,4456448,4096x2048x256,256,2.247000,27
blk.22.ffn_down_exps.weight,13,80043546880,4456448,2048x4096x256,256,2.239000,24
blk.7.ffn_up_exps.weight,112,29019803392,4456448,4096x2048x256,256,2.230000,25
blk.36.ffn_down_exps.weight,161,130856676096,4456448,2048x4096x256,256,2.227000,23
blk.21.ffn_up_exps.weight,94,79093162240,4456448,4096x2048x256,256,2.216000,24
blk.22.ffn_up_exps.weight,13,82325248256,4456448,4096x2048x256,256,2.204000,24
blk.29.ffn_up_exps.weight,254,108465379584,4456448,4096x2048x256,256,2.166000,23
blk.22.ffn_down_exps.weight,88,80377780480,4456448,2048x4096x256,256,2.163000,25
blk.22.ffn_up_exps.weight,88,82659481856,4456448,4096x2048x256,256,2.148000,25
blk.38.ffn_down_exps.weight,42,137491155200,4456448,2048x4096x256,256,2.145000,27
blk.23.ffn_up_exps.weight,194,86703603456,4456448,4096x2048x256,256,2.141000,23
blk.10.ffn_up_exps.weight,76,39617225984,4456448,4096x2048x256,256,2.135000,22
blk.18.ffn_down_exps.weight,225,66658721024,4456448,2048x4096x256,256,2.129000,22
blk.20.ffn_up_exps.weight,219,76078480128,4456448,4096x2048x256,256,2.129000,24
blk.39.ffn_up_exps.weight,69,143464918784,4456448,4096x2048x256,256,2.128000,23
blk.29.ffn_down_exps.weight,254,106183678208,4456448,2048x4096x256,256,2.116000,23
blk.20.ffn_down_exps.weight,219,73796778752,4456448,2048x4096x256,256,2.115000,24
blk.21.ffn_up_exps.weight,155,79365005568,4456448,4096x2048x256,256,2.091000,22
blk.18.ffn_up_exps.weight,225,68940422400,4456448,4096x2048x256,256,2.083000,22
blk.23.ffn_down_exps.weight,194,84421902080,4456448,2048x4096x256,256,2.073000,23
blk.7.ffn_up_exps.weight,133,29113388800,4456448,4096x2048x256,256,2.068000,23
blk.10.ffn_down_exps.weight,76,37335524608,4456448,2048x4096x256,256,2.065000,22
blk.21.ffn_down_exps.weight,155,77083304192,4456448,2048x4096x256,256,2.065000,22
blk.10.ffn_down_exps.weight,40,37175092480,4456448,2048x4096x256,256,2.051000,23
blk.19.ffn_up_exps.weight,46,71714456320,4456448,4096x2048x256,256,2.044000,22
blk.10.ffn_up_exps.weight,40,39456793856,4456448,4096x2048x256,256,2.042000,23
blk.7.ffn_down_exps.weight,133,26831687424,4456448,2048x4096x256,256,2.034000,23
blk.21.ffn_down_exps.weight,94,76811460864,4456448,2048x4096x256,256,2.031000,24
blk.31.ffn_down_exps.weight,211,113156847360,4456448,2048x4096x256,256,2.028000,25
blk.0.ffn_down_exps.weight,106,1644583680,4456448,2048x4096x256,256,2.027000,23
blk.19.ffn_down_exps.weight,46,69432754944,4456448,2048x4096x256,256,2.005000,22
blk.5.ffn_up_exps.weight,250,22469996800,4456448,4096x2048x256,256,2.005000,23
blk.21.ffn_up_exps.weight,173,79445221632,4456448,4096x2048x256,256,2.003000,23
blk.39.ffn_down_exps.weight,69,141183217408,4456448,2048x4096x256,256,1.995000,23
blk.5.ffn_down_exps.weight,250,20188295424,4456448,2048x4096x256,256,1.993000,23
blk.31.ffn_up_exps.weight,211,115438548736,4456448,4096x2048x256,256,1.974000,25
blk.15.ffn_down_exps.weight,176,55682500352,4456448,2048x4096x256,256,1.967000,21
blk.21.ffn_down_exps.weight,173,77163520256,4456448,2048x4096x256,256,1.965000,23
blk.16.ffn_up_exps.weight,186,61601824512,4456448,4096x2048x256,256,1.948000,22
blk.15.ffn_up_exps.weight,176,57964201728,4456448,4096x2048x256,256,1.939000,21
blk.4.ffn_up_exps.weight,53,18020338432,4456448,4096x2048x256,256,1.932000,23
blk.16.ffn_down_exps.weight,186,59320123136,4456448,2048x4096x256,256,1.929000,22
blk.36.ffn_up_exps.weight,133,133013596928,4456448,4096x2048x256,256,1.928000,19
blk.0.ffn_up_exps.weight,106,3926285056,4456448,4096x2048x256,256,1.921000,23
blk.6.ffn_down_exps.weight,31,22805391616,4456448,2048x4096x256,256,1.921000,23
blk.37.ffn_down_exps.weight,147,134366023936,4456448,2048x4096x256,256,1.904000,21
blk.4.ffn_down_exps.weight,8,15538096896,4456448,2048x4096x256,256,1.897000,21
blk.9.ffn_down_exps.weight,220,34384194816,4456448,2048x4096x256,256,1.891000,20
blk.21.ffn_down_exps.weight,167,77136781568,4456448,2048x4096x256,256,1.889000,23
blk.24.ffn_up_exps.weight,214,90385790720,4456448,4096x2048x256,256,1.889000,20
