rank,pair_key,layer,expert,role,tensor,model_offset,nbytes,shape,n_expert,hot_ms,calls,fused_calls
56,blk.15.expert.249,15,249,up,blk.15.ffn_up_exps.weight,58289522432,4456448,4096x2048x256,256,4.734000,53,53
56,blk.15.expert.249,15,249,down,blk.15.ffn_down_exps.weight,56007821056,4456448,2048x4096x256,256,4.419000,53,53
57,blk.7.expert.191,7,191,up,blk.7.ffn_up_exps.weight,29371862784,4456448,4096x2048x256,256,4.709000,53,53
57,blk.7.expert.191,7,191,down,blk.7.ffn_down_exps.weight,27090161408,4456448,2048x4096x256,256,4.411000,53,53
58,blk.20.expert.112,20,112,up,blk.20.ffn_up_exps.weight,75601640192,4456448,4096x2048x256,256,4.599000,60,60
58,blk.20.expert.112,20,112,down,blk.20.ffn_down_exps.weight,73319938816,4456448,2048x4096x256,256,4.411000,60,60
59,blk.11.expert.164,11,164,up,blk.11.ffn_up_exps.weight,43581131520,4456448,4096x2048x256,256,4.512000,52,52
59,blk.11.expert.164,11,164,down,blk.11.ffn_down_exps.weight,41299430144,4456448,2048x4096x256,256,4.236000,52,52
60,blk.8.expert.11,8,11,up,blk.8.ffn_up_exps.weight,32162760448,4456448,4096x2048x256,256,4.419000,53,53
60,blk.8.expert.11,8,11,down,blk.8.ffn_down_exps.weight,29881059072,4456448,2048x4096x256,256,4.308000,53,53
61,blk.28.expert.252,28,252,up,blk.28.ffn_up_exps.weight,104884728576,4456448,4096x2048x256,256,4.426000,56,56
61,blk.28.expert.252,28,252,down,blk.28.ffn_down_exps.weight,102603027200,4456448,2048x4096x256,256,4.288000,56,56
62,blk.8.expert.223,8,223,up,blk.8.ffn_up_exps.weight,33107527424,4456448,4096x2048x256,256,4.312000,53,53
62,blk.8.expert.223,8,223,down,blk.8.ffn_down_exps.weight,30825826048,4456448,2048x4096x256,256,4.286000,53,53
63,blk.38.expert.221,38,221,up,blk.38.ffn_up_exps.weight,140570560768,4456448,4096x2048x256,256,4.507000,50,50
63,blk.38.expert.221,38,221,down,blk.38.ffn_down_exps.weight,138288859392,4456448,2048x4096x256,256,4.087000,50,50
64,blk.11.expert.232,11,232,up,blk.11.ffn_up_exps.weight,43884169984,4456448,4096x2048x256,256,4.238000,48,48
64,blk.11.expert.232,11,232,down,blk.11.ffn_down_exps.weight,41602468608,4456448,2048x4096x256,256,4.109000,48,48
