tensor	expert	fallback_ms	calls	expert_bytes
blk.35.ffn_down_exps.weight	117	13.737	14	4456448
blk.6.ffn_up_exps.weight	31	13.726	23	4456448
blk.28.ffn_up_exps.weight	142	13.649	49	4456448
blk.15.ffn_down_exps.weight	29	13.522	14	4456448
blk.29.ffn_up_exps.weight	132	13.476	7	4456448
blk.0.ffn_up_exps.weight	117	13.459	12	4456448
blk.39.ffn_up_exps.weight	191	13.404	15	4456448
blk.9.ffn_up_exps.weight	242	13.400	31	4456448
blk.14.ffn_up_exps.weight	62	13.374	56	4456448
blk.21.ffn_down_exps.weight	155	13.357	22	4456448
blk.16.ffn_down_exps.weight	240	13.295	58	4456448
blk.21.ffn_down_exps.weight	173	13.283	23	4456448
blk.35.ffn_up_exps.weight	29	13.274	6	4456448
blk.33.ffn_down_exps.weight	43	13.241	8	4456448
blk.15.ffn_up_exps.weight	144	13.227	31	4456448
blk.18.ffn_down_exps.weight	25	13.158	7	4456448
blk.29.ffn_down_exps.weight	45	13.075	82	4456448
blk.34.ffn_up_exps.weight	239	13.061	38	4456448
blk.0.ffn_up_exps.weight	96	13.039	3	4456448
blk.25.ffn_up_exps.weight	48	13.014	24	4456448
blk.10.ffn_up_exps.weight	40	12.977	23	4456448
blk.21.ffn_down_exps.weight	252	12.936	2	4456448
blk.20.ffn_down_exps.weight	196	12.930	16	4456448
blk.31.ffn_down_exps.weight	244	12.906	35	4456448
blk.37.ffn_up_exps.weight	164	12.867	50	4456448
blk.14.ffn_down_exps.weight	62	12.816	56	4456448
blk.0.ffn_up_exps.weight	106	12.785	23	4456448
blk.3.ffn_up_exps.weight	135	12.769	13	4456448
blk.33.ffn_down_exps.weight	58	12.751	19	4456448
blk.18.ffn_up_exps.weight	26	12.747	29	4456448
blk.16.ffn_down_exps.weight	176	12.694	58	4456448
blk.31.ffn_up_exps.weight	244	12.686	35	4456448
blk.11.ffn_up_exps.weight	164	12.573	52	4456448
blk.17.ffn_up_exps.weight	61	12.541	39	4456448
blk.25.ffn_down_exps.weight	114	12.503	5	4456448
blk.3.ffn_down_exps.weight	228	12.474	32	4456448
blk.2.ffn_up_exps.weight	23	12.294	5	4456448
blk.6.ffn_down_exps.weight	42	12.239	35	4456448
blk.11.ffn_up_exps.weight	103	12.194	42	4456448
blk.38.ffn_down_exps.weight	187	12.186	38	4456448
blk.16.ffn_up_exps.weight	219	12.175	28	4456448
blk.4.ffn_down_exps.weight	53	12.160	23	4456448
blk.25.ffn_down_exps.weight	219	12.097	5	4456448
blk.7.ffn_up_exps.weight	159	11.957	28	4456448
blk.31.ffn_down_exps.weight	19	11.934	41	4456448
blk.39.ffn_down_exps.weight	163	11.916	26	4456448
blk.20.ffn_down_exps.weight	6	11.888	10	4456448
blk.6.ffn_down_exps.weight	97	11.841	30	4456448
blk.35.ffn_down_exps.weight	194	11.815	6	4456448
blk.21.ffn_up_exps.weight	167	11.800	23	4456448
blk.21.ffn_down_exps.weight	13	11.787	15	4456448
blk.26.ffn_up_exps.weight	203	11.777	67	4456448
blk.38.ffn_down_exps.weight	221	11.764	50	4456448
blk.29.ffn_down_exps.weight	254	11.753	23	4456448
blk.9.ffn_down_exps.weight	220	11.718	20	4456448
blk.9.ffn_down_exps.weight	173	11.665	27	4456448
blk.22.ffn_up_exps.weight	88	11.616	25	4456448
blk.33.ffn_down_exps.weight	136	11.540	2	4456448
blk.20.ffn_down_exps.weight	129	11.515	18	4456448
blk.10.ffn_up_exps.weight	33	11.460	12	4456448
blk.38.ffn_up_exps.weight	89	11.440	48	4456448
blk.11.ffn_down_exps.weight	232	11.431	48	4456448
blk.15.ffn_down_exps.weight	175	11.403	36	4456448
blk.37.ffn_down_exps.weight	61	11.391	7	4456448
blk.0.ffn_down_exps.weight	106	11.315	23	4456448
blk.0.ffn_up_exps.weight	92	11.315	3	4456448
blk.38.ffn_up_exps.weight	151	11.251	40	4456448
blk.29.ffn_down_exps.weight	244	11.232	8	4456448
blk.2.ffn_up_exps.weight	180	11.222	7	4456448
blk.7.ffn_up_exps.weight	32	11.213	11	4456448
blk.4.ffn_up_exps.weight	197	11.211	20	4456448
blk.9.ffn_down_exps.weight	242	11.198	31	4456448
blk.1.ffn_up_exps.weight	28	11.196	4	4456448
blk.13.ffn_down_exps.weight	14	11.173	25	4456448
blk.39.ffn_up_exps.weight	60	11.159	9	4456448
blk.2.ffn_down_exps.weight	76	11.123	8	4456448
blk.19.ffn_down_exps.weight	158	11.108	20	4456448
blk.34.ffn_up_exps.weight	254	11.025	40	4456448
blk.31.ffn_down_exps.weight	211	11.022	25	4456448
blk.18.ffn_up_exps.weight	163	11.021	38	4456448
blk.36.ffn_down_exps.weight	120	10.977	27	4456448
blk.0.ffn_down_exps.weight	117	10.968	12	4456448
blk.4.ffn_down_exps.weight	188	10.955	16	4456448
blk.6.ffn_down_exps.weight	73	10.933	14	4456448
blk.12.ffn_up_exps.weight	41	10.888	34	4456448
blk.22.ffn_down_exps.weight	125	10.883	26	4456448
blk.2.ffn_down_exps.weight	74	10.881	18	4456448
blk.1.ffn_down_exps.weight	25	10.827	9	4456448
blk.39.ffn_down_exps.weight	214	10.824	18	4456448
blk.19.ffn_down_exps.weight	228	10.821	21	4456448
blk.8.ffn_down_exps.weight	115	10.815	35	4456448
blk.2.ffn_down_exps.weight	112	10.811	4	4456448
blk.0.ffn_down_exps.weight	57	10.796	6	4456448
blk.17.ffn_down_exps.weight	61	10.778	39	4456448
blk.2.ffn_up_exps.weight	152	10.756	5	4456448
blk.23.ffn_down_exps.weight	165	10.727	11	4456448
