layer,kind,events,traffic_gib,unique_keys,prompt_count,proxy_hot_keys,proxy_hit_traffic_pct,next64_gain_gib,next64_gain_per_slot_mib,next64_avg_prompt_coverage,remove64_cost_gib,remove64_cost_per_slot_mib,remove64_avg_prompt_coverage
26,upgate,7808,34.193359375,646,7,28,29.328893442622952,8.25054931640625,132.0087890625,4.171875,10.028533935546875,366.7578125,5.142857142857143
27,down,3904,22.9345703125,302,7,12,28.714139344262296,8.888320922851562,142.213134765625,4.375,6.5854644775390625,561.9596354166666,5.083333333333333
27,upgate,7808,34.193359375,604,7,24,28.714139344262296,8.6534423828125,138.455078125,4.46875,9.818328857421875,418.9153645833333,5.083333333333333
28,down,3904,22.9345703125,317,7,13,21.43954918032787,9.381790161132812,150.108642578125,4.390625,4.9170684814453125,387.3137019230769,5.076923076923077
28,upgate,7808,37.529296875,634,7,34,26.027720856102004,8.797103881835938,140.753662109375,4.40625,9.768020629882812,294.1897977941176,4.794117647058823
29,down,3904,22.9345703125,338,7,10,19.90266393442623,9.276046752929688,148.416748046875,4.625,4.5645904541015625,467.4140625,5.3
29,upgate,7808,37.529296875,676,7,25,22.831284153005466,9.160690307617188,146.571044921875,4.625,8.56842041015625,350.9625,5.44
30,down,3904,22.9345703125,337,7,15,26.331967213114755,8.8824462890625,142.119140625,4.40625,6.03912353515625,412.2708333333333,4.733333333333333
30,upgate,7808,37.529296875,674,7,35,29.421106557377048,8.852005004882812,141.632080078125,4.71875,11.041534423828125,323.04375,4.714285714285714
31,down,3904,22.9345703125,327,7,17,33.37602459016394,8.477096557617188,135.633544921875,4.4375,7.6546478271484375,461.07996323529414,4.882352941176471
31,upgate,7808,37.529296875,654,7,39,36.13729508196721,8.646072387695312,138.337158203125,4.734375,13.56207275390625,356.09134615384613,4.794871794871795
32,down,3904,22.9345703125,326,7,13,28.048155737704917,8.747329711914062,139.957275390625,4.671875,6.4327239990234375,506.70072115384613,4.384615384615385
32,upgate,7808,37.529296875,652,7,29,29.791382058287795,8.714111328125,139.42578125,4.984375,11.180496215820312,394.7871767241379,4.379310344827586
33,down,3904,22.9345703125,323,7,15,27.945696721311474,9.09393310546875,145.5029296875,4.53125,6.4092254638671875,437.5364583333333,4.8
33,upgate,7808,37.529296875,646,7,34,30.302823315118395,8.746475219726562,139.943603515625,4.375,11.3724365234375,342.5110294117647,4.882352941176471
34,down,3904,22.9345703125,327,7,13,24.743852459016395,8.85894775390625,141.7431640625,4.53125,5.674896240234375,447.00721153846155,5.0
34,upgate,7808,37.529296875,654,7,29,26.459187158469945,8.666793823242188,138.668701171875,4.78125,9.929946899414062,350.62984913793105,5.0344827586206895
35,down,3904,22.9345703125,312,7,17,34.88729508196721,8.336105346679688,133.377685546875,3.9375,8.001251220703125,481.9577205882353,4.117647058823529
35,upgate,7808,37.529296875,624,7,36,36.07297358834244,8.68292236328125,138.9267578125,4.328125,13.537933349609375,385.07899305555554,4.0
36,down,3904,22.9345703125,315,7,17,31.65983606557377,8.606338500976562,137.701416015625,4.359375,7.26104736328125,437.37132352941177,4.705882352941177
36,upgate,7808,37.529296875,630,7,35,32.20372267759563,8.632400512695312,138.118408203125,4.546875,12.085830688476562,353.596875,4.685714285714286
37,down,3904,22.9345703125,326,7,16,33.37602459016394,8.29498291015625,132.7197265625,4.421875,7.6546478271484375,489.8974609375,3.9375
37,upgate,7808,37.529296875,652,7,37,36.255976775956285,8.3287353515625,133.259765625,4.34375,13.606613159179688,376.5722128378378,3.864864864864865
38,down,3904,22.9345703125,324,7,15,29.610655737704917,8.377227783203125,134.03564453125,4.203125,6.79107666015625,463.6041666666667,4.4
38,upgate,7808,37.529296875,648,7,35,32.4834927140255,8.235382080078125,131.76611328125,4.296875,12.190826416015625,356.66875,4.257142857142857
39,down,3904,22.9345703125,316,7,16,33.19672131147541,8.01300048828125,128.2080078125,4.234375,7.613525390625,487.265625,4.3125
39,upgate,7808,37.529296875,632,7,36,35.45594262295082,7.86090087890625,125.7744140625,4.328125,13.306365966796875,378.4921875,4.222222222222222
40,down,3904,22.9345703125,323,7,11,22.97643442622951,9.417037963867188,150.672607421875,4.15625,5.2695465087890625,490.546875,4.545454545454546
40,upgate,7808,37.529296875,646,7,27,25.81454918032787,9.293136596679688,148.690185546875,4.296875,9.688018798828125,367.4270833333333,4.481481481481482
41,down,3904,22.9345703125,324,7,13,30.327868852459016,8.253860473632812,132.061767578125,4.171875,6.95556640625,547.8846153846154,4.461538461538462
41,upgate,7808,37.529296875,648,7,29,32.14793943533698,8.36590576171875,133.8544921875,4.078125,12.064895629882812,426.015625,4.413793103448276
42,down,3904,22.9345703125,323,7,11,27.510245901639344,8.635711669921875,138.17138671875,4.03125,6.309356689453125,587.34375,4.818181818181818
42,upgate,7808,37.529296875,646,7,25,29.31637067395264,8.453170776367188,135.250732421875,4.015625,11.002227783203125,450.65125,4.4
