layer,kind,top_k,calls,actual_events,actual_gib,byte_recall,precision,predicted_to_actual_byte_ratio,false_to_actual_byte_ratio,extra_to_actual_byte_ratio
27,upgate,16,976,7808,34.193359375,0.25179303278688525,0.12589651639344263,2.0,1.7482069672131149,1.0
28,down,8,488,3904,22.9345703125,0.10860655737704918,0.10860655737704918,1.0,0.8913934426229508,0.0
28,down,10,488,3904,22.9345703125,0.12295081967213115,0.09836065573770492,1.25,1.1270491803278688,0.25
28,down,12,488,3904,22.9345703125,0.13780737704918034,0.09187158469945356,1.5,1.3621926229508197,0.5
28,down,16,488,3904,22.9345703125,0.16547131147540983,0.08273565573770492,2.0,1.8345286885245902,1.0
28,upgate,8,976,7808,37.529296875,0.10860655737704918,0.10860655737704918,1.0,0.8913934426229508,0.0
28,upgate,10,976,7808,37.529296875,0.12295081967213115,0.09836065573770492,1.25,1.1270491803278688,0.25
28,upgate,12,976,7808,37.529296875,0.13780737704918034,0.09187158469945356,1.5,1.3621926229508197,0.5
28,upgate,16,976,7808,37.529296875,0.16547131147540983,0.08273565573770492,2.0,1.8345286885245902,1.0
29,down,8,488,3904,22.9345703125,0.13114754098360656,0.13114754098360656,1.0,0.8688524590163934,0.0
29,down,10,488,3904,22.9345703125,0.1565061475409836,0.12520491803278688,1.25,1.0934938524590163,0.25
29,down,12,488,3904,22.9345703125,0.16470286885245902,0.10980191256830601,1.5,1.335297131147541,0.5
29,down,16,488,3904,22.9345703125,0.18212090163934427,0.09106045081967214,2.0,1.8178790983606556,1.0
29,upgate,8,976,7808,37.529296875,0.13114754098360656,0.13114754098360656,1.0,0.8688524590163934,0.0
29,upgate,10,976,7808,37.529296875,0.1565061475409836,0.12520491803278688,1.25,1.0934938524590163,0.25
29,upgate,12,976,7808,37.529296875,0.16470286885245902,0.10980191256830601,1.5,1.335297131147541,0.5
29,upgate,16,976,7808,37.529296875,0.18212090163934427,0.09106045081967214,2.0,1.8178790983606556,1.0
30,down,8,488,3904,22.9345703125,0.11987704918032786,0.11987704918032786,1.0,0.8801229508196722,0.0
30,down,10,488,3904,22.9345703125,0.1416495901639344,0.11331967213114755,1.25,1.1083504098360655,0.25
30,down,12,488,3904,22.9345703125,0.1598360655737705,0.10655737704918032,1.5,1.3401639344262295,0.5
30,down,16,488,3904,22.9345703125,0.1875,0.09375,2.0,1.8125,1.0
30,upgate,8,976,7808,37.529296875,0.11987704918032786,0.11987704918032786,1.0,0.8801229508196722,0.0
30,upgate,10,976,7808,37.529296875,0.1416495901639344,0.11331967213114755,1.25,1.1083504098360655,0.25
30,upgate,12,976,7808,37.529296875,0.1598360655737705,0.10655737704918032,1.5,1.3401639344262295,0.5
30,upgate,16,976,7808,37.529296875,0.1875,0.09375,2.0,1.8125,1.0
31,down,8,488,3904,22.9345703125,0.1411372950819672,0.1411372950819672,1.0,0.8588627049180327,0.0
31,down,10,488,3904,22.9345703125,0.1559938524590164,0.12479508196721312,1.25,1.0940061475409837,0.25
31,down,12,488,3904,22.9345703125,0.19825819672131148,0.13217213114754098,1.5,1.3017418032786885,0.5
31,down,16,488,3904,22.9345703125,0.24308401639344263,0.12154200819672131,2.0,1.7569159836065573,1.0
31,upgate,8,976,7808,37.529296875,0.1411372950819672,0.1411372950819672,1.0,0.8588627049180327,0.0
31,upgate,10,976,7808,37.529296875,0.1559938524590164,0.12479508196721312,1.25,1.0940061475409837,0.25
31,upgate,12,976,7808,37.529296875,0.19825819672131148,0.13217213114754098,1.5,1.3017418032786885,0.5
