prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,cooc,3,8,all,4845,38760,38760,4744,0.1224,0.1224,0.0000,1.0000,615.0464,615.0464,75.4525,539.5939
dev_france_regression,cooc,3,8,upgate,4845,38760,38760,4744,0.1224,0.1224,0.0000,1.0000,367.3718,367.3718,44.5353,322.8365
dev_france_regression,cooc,3,8,down,4845,38760,38760,4744,0.1224,0.1224,0.0000,1.0000,247.6746,247.6746,30.9172,216.7573
dev_france_regression,cooc,3,16,all,4845,38760,77520,7270,0.1876,0.0938,0.0002,2.0000,615.0464,1230.0928,115.3898,1114.7030
dev_france_regression,cooc,3,16,upgate,4845,38760,77520,7270,0.1876,0.0938,0.0002,2.0000,367.3718,734.7437,68.2521,666.4915
dev_france_regression,cooc,3,16,down,4845,38760,77520,7270,0.1876,0.0938,0.0002,2.0000,247.6746,495.3491,47.1376,448.2115
dev_france_regression,cooc,3,32,all,4845,38760,155040,10329,0.2665,0.0666,0.0014,4.0000,615.0464,2460.1855,163.8280,2296.3575
dev_france_regression,cooc,3,32,upgate,4845,38760,155040,10329,0.2665,0.0666,0.0014,4.0000,367.3718,1469.4873,97.1244,1372.3629
dev_france_regression,cooc,3,32,down,4845,38760,155040,10329,0.2665,0.0666,0.0014,4.0000,247.6746,990.6982,66.7037,923.9946
dev_france_regression,previous_same_layer,3,8,all,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,615.0464,607.8105,220.4930,387.3176
dev_france_regression,previous_same_layer,3,8,upgate,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,367.3718,363.0498,132.4198,230.6300
dev_france_regression,previous_same_layer,3,8,down,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,247.6746,244.7607,88.0732,156.6876
dev_france_regression,previous_same_layer,3,16,all,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,615.0464,607.8105,220.4930,387.3176
dev_france_regression,previous_same_layer,3,16,upgate,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,367.3718,363.0498,132.4198,230.6300
dev_france_regression,previous_same_layer,3,16,down,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,247.6746,244.7607,88.0732,156.6876
dev_france_regression,previous_same_layer,3,32,all,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,615.0464,607.8105,220.4930,387.3176
dev_france_regression,previous_same_layer,3,32,upgate,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,367.3718,363.0498,132.4198,230.6300
dev_france_regression,previous_same_layer,3,32,down,4845,38760,38304,13956,0.3601,0.3643,0.0006,0.9882,247.6746,244.7607,88.0732,156.6876
dev_france_regression,recent_lfu,3,8,all,4845,38760,38304,13435,0.3466,0.3507,0.0002,0.9882,615.0464,607.8105,212.3864,395.4242
dev_france_regression,recent_lfu,3,8,upgate,4845,38760,38304,13435,0.3466,0.3507,0.0002,0.9882,367.3718,363.0498,127.3345,235.7153
dev_france_regression,recent_lfu,3,8,down,4845,38760,38304,13435,0.3466,0.3507,0.0002,0.9882,247.6746,244.7607,85.0519,159.7089
dev_france_regression,recent_lfu,3,16,all,4845,38760,75765,17855,0.4607,0.2357,0.0037,1.9548,615.0464,1202.3147,282.3507,919.9640
dev_france_regression,recent_lfu,3,16,upgate,4845,38760,75765,17855,0.4607,0.2357,0.0037,1.9546,367.3718,718.0770,169.0739,549.0031
dev_france_regression,recent_lfu,3,16,down,4845,38760,75765,17855,0.4607,0.2357,0.0037,1.9551,247.6746,484.2377,113.2768,370.9609
dev_france_regression,recent_lfu,3,32,all,4845,38760,100923,20499,0.5289,0.2031,0.0118,2.6080,615.0464,1604.0606,324.4431,1279.6175
dev_france_regression,recent_lfu,3,32,upgate,4845,38760,100923,20499,0.5289,0.2031,0.0118,2.6037,367.3718,956.5260,194.0387,762.4873
dev_france_regression,recent_lfu,3,32,down,4845,38760,100923,20499,0.5289,0.2031,0.0118,2.6145,247.6746,647.5346,130.4044,517.1302
dev_france_regression,hybrid_balanced,3,8,all,4845,38760,38760,14306,0.3691,0.3691,0.0006,1.0000,615.0464,615.0464,226.1143,388.9321
dev_france_regression,hybrid_balanced,3,8,upgate,4845,38760,38760,14306,0.3691,0.3691,0.0006,1.0000,367.3718,367.3718,135.6793,231.6926
dev_france_regression,hybrid_balanced,3,8,down,4845,38760,38760,14306,0.3691,0.3691,0.0006,1.0000,247.6746,247.6746,90.4351,157.2395
dev_france_regression,hybrid_balanced,3,16,all,4845,38760,77520,18882,0.4872,0.2436,0.0039,2.0000,615.0464,1230.0928,298.7714,931.3214
dev_france_regression,hybrid_balanced,3,16,upgate,4845,38760,77520,18882,0.4872,0.2436,0.0039,2.0000,367.3718,734.7437,178.6739,556.0698
dev_france_regression,hybrid_balanced,3,16,down,4845,38760,77520,18882,0.4872,0.2436,0.0039,2.0000,247.6746,495.3491,120.0975,375.2516
dev_france_regression,hybrid_balanced,3,32,all,4845,38760,155040,23111,0.5963,0.1491,0.0287,4.0000,615.0464,2460.1855,365.9196,2094.2659
dev_france_regression,hybrid_balanced,3,32,upgate,4845,38760,155040,23111,0.5963,0.1491,0.0287,4.0000,367.3718,1469.4873,218.5430,1250.9443
