depth,mode,kind,layer,tensor,calls,transitions,actual_events,covered_events,actual_bytes,covered_bytes,false_bytes,event_coverage,byte_coverage,false_prefetch_ratio,net_byte_multiplier,exact_repeat_rate,avg_jaccard
1,decode,up,22,blk.22.ffn_up_exps.weight,31,30,240,85,1128529920,399687680,728842240,0.3541666666666667,0.3541666666666667,0.6458333333333334,1.6458333333333333,0.0,0.2343056943056943
1,decode,gate,22,blk.22.ffn_gate_exps.weight,31,30,240,85,1128529920,399687680,728842240,0.3541666666666667,0.3541666666666667,0.6458333333333334,1.6458333333333333,0.0,0.2343056943056943
1,decode,down,22,blk.22.ffn_down_exps.weight,31,30,240,85,1871708160,662896640,1208811520,0.3541666666666667,0.3541666666666667,0.6458333333333334,1.6458333333333333,0.0,0.2343056943056943
1,decode,up,23,blk.23.ffn_up_exps.weight,31,30,240,65,1128529920,305643520,822886400,0.2708333333333333,0.2708333333333333,0.7291666666666666,1.7291666666666667,0.0,0.16581196581196583
1,decode,gate,23,blk.23.ffn_gate_exps.weight,31,30,240,65,1128529920,305643520,822886400,0.2708333333333333,0.2708333333333333,0.7291666666666666,1.7291666666666667,0.0,0.16581196581196583
1,decode,down,23,blk.23.ffn_down_exps.weight,31,30,240,65,1871708160,506920960,1364787200,0.2708333333333333,0.2708333333333333,0.7291666666666666,1.7291666666666667,0.0,0.16581196581196583
1,decode,up,24,blk.24.ffn_up_exps.weight,31,30,240,63,1128529920,296239104,832290816,0.2625,0.2625,0.7375,1.7375,0.0,0.16534576534576534
1,decode,gate,24,blk.24.ffn_gate_exps.weight,31,30,240,63,1128529920,296239104,832290816,0.2625,0.2625,0.7375,1.7375,0.0,0.16534576534576534
1,decode,down,24,blk.24.ffn_down_exps.weight,31,30,240,63,1871708160,491323392,1380384768,0.2625,0.2625,0.7375,1.7375,0.0,0.16534576534576534
1,decode,up,25,blk.25.ffn_up_exps.weight,31,30,240,76,1128529920,357367808,771162112,0.31666666666666665,0.31666666666666665,0.6833333333333333,1.6833333333333333,0.0,0.20898434898434898
1,decode,gate,25,blk.25.ffn_gate_exps.weight,31,30,240,76,1128529920,357367808,771162112,0.31666666666666665,0.31666666666666665,0.6833333333333333,1.6833333333333333,0.0,0.20898434898434898
1,decode,down,25,blk.25.ffn_down_exps.weight,31,30,240,76,1871708160,592707584,1279000576,0.31666666666666665,0.31666666666666665,0.6833333333333333,1.6833333333333333,0.0,0.20898434898434898
1,decode,up,26,blk.26.ffn_up_exps.weight,31,30,240,79,1128529920,371474432,757055488,0.32916666666666666,0.32916666666666666,0.6708333333333333,1.6708333333333334,0.0,0.2146098346098346
1,decode,gate,26,blk.26.ffn_gate_exps.weight,31,30,240,79,1128529920,371474432,757055488,0.32916666666666666,0.32916666666666666,0.6708333333333333,1.6708333333333334,0.0,0.2146098346098346
1,decode,down,26,blk.26.ffn_down_exps.weight,31,30,240,79,1871708160,616103936,1255604224,0.32916666666666666,0.32916666666666666,0.6708333333333333,1.6708333333333334,0.0,0.2146098346098346
1,decode,up,27,blk.27.ffn_up_exps.weight,31,30,240,73,1128529920,343261184,785268736,0.30416666666666664,0.30416666666666664,0.6958333333333333,1.6958333333333333,0.0,0.18905760905760913
1,decode,gate,27,blk.27.ffn_gate_exps.weight,31,30,240,73,1128529920,343261184,785268736,0.30416666666666664,0.30416666666666664,0.6958333333333333,1.6958333333333333,0.0,0.18905760905760913
1,decode,down,27,blk.27.ffn_down_exps.weight,31,30,240,73,1513881600,460472320,1053409280,0.30416666666666664,0.30416666666666664,0.6958333333333333,1.6958333333333333,0.0,0.18905760905760913
1,decode,up,28,blk.28.ffn_up_exps.weight,31,30,240,58,1128529920,272728064,855801856,0.24166666666666667,0.24166666666666667,0.7583333333333333,1.7583333333333333,0.0,0.1476789876789877
1,decode,gate,28,blk.28.ffn_gate_exps.weight,31,30,240,58,1348730880,325943296,1022787584,0.24166666666666667,0.24166666666666667,0.7583333333333333,1.7583333333333333,0.0,0.1476789876789877
1,decode,down,28,blk.28.ffn_down_exps.weight,31,30,240,58,1513881600,365854720,1148026880,0.24166666666666667,0.24166666666666667,0.7583333333333333,1.7583333333333333,0.0,0.1476789876789877
1,decode,up,29,blk.29.ffn_up_exps.weight,31,30,240,46,1128529920,216301568,912228352,0.19166666666666668,0.19166666666666668,0.8083333333333333,1.8083333333333333,0.0,0.11562881562881563
1,decode,gate,29,blk.29.ffn_gate_exps.weight,31,30,240,46,1348730880,258506752,1090224128,0.19166666666666668,0.19166666666666668,0.8083333333333333,1.8083333333333333,0.0,0.11562881562881563
1,decode,down,29,blk.29.ffn_down_exps.weight,31,30,240,46,1513881600,290160640,1223720960,0.19166666666666668,0.19166666666666668,0.8083333333333333,1.8083333333333333,0.0,0.11562881562881563
1,decode,up,30,blk.30.ffn_up_exps.weight,31,30,240,78,1128529920,366772224,761757696,0.325,0.325,0.675,1.675,0.0,0.21192585192585195
1,decode,gate,30,blk.30.ffn_gate_exps.weight,31,30,240,78,1348730880,438337536,910393344,0.325,0.325,0.675,1.675,0.0,0.21192585192585195
1,decode,down,30,blk.30.ffn_down_exps.weight,31,30,240,78,1513881600,492011520,1021870080,0.325,0.325,0.675,1.675,0.0,0.21192585192585195
1,decode,up,31,blk.31.ffn_up_exps.weight,31,30,240,80,1128529920,376176640,752353280,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.2165279165279165
1,decode,gate,31,blk.31.ffn_gate_exps.weight,31,30,240,80,1348730880,449576960,899153920,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.2165279165279165
1,decode,down,31,blk.31.ffn_down_exps.weight,31,30,240,80,1513881600,504627200,1009254400,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.2165279165279165
1,decode,up,32,blk.32.ffn_up_exps.weight,31,30,240,71,1128529920,333856768,794673152,0.29583333333333334,0.29583333333333334,0.7041666666666667,1.7041666666666666,0.0,0.18579642579642586
1,decode,gate,32,blk.32.ffn_gate_exps.weight,31,30,240,71,1348730880,398999552,949731328,0.29583333333333334,0.29583333333333334,0.7041666666666667,1.7041666666666666,0.0,0.18579642579642586
1,decode,down,32,blk.32.ffn_down_exps.weight,31,30,240,71,1513881600,447856640,1066024960,0.29583333333333334,0.29583333333333334,0.7041666666666667,1.7041666666666666,0.0,0.18579642579642586
1,decode,up,33,blk.33.ffn_up_exps.weight,31,30,240,84,1128529920,394985472,733544448,0.35,0.35,0.65,1.65,0.0,0.23578717578717578
1,decode,gate,33,blk.33.ffn_gate_exps.weight,31,30,240,84,1348730880,472055808,876675072,0.35,0.35,0.65,1.65,0.0,0.23578717578717578
1,decode,down,33,blk.33.ffn_down_exps.weight,31,30,240,84,1513881600,529858560,984023040,0.35,0.35,0.65,1.65,0.0,0.23578717578717578
1,decode,up,34,blk.34.ffn_up_exps.weight,31,30,240,87,1128529920,409092096,719437824,0.3625,0.3625,0.6375,1.6375,0.0,0.2387656787656788
1,decode,gate,34,blk.34.ffn_gate_exps.weight,31,30,240,87,1348730880,488914944,859815936,0.3625,0.3625,0.6375,1.6375,0.0,0.2387656787656788
1,decode,down,34,blk.34.ffn_down_exps.weight,31,30,240,87,1513881600,548782080,965099520,0.3625,0.3625,0.6375,1.6375,0.0,0.2387656787656788
1,decode,up,35,blk.35.ffn_up_exps.weight,31,30,240,97,1128529920,456114176,672415744,0.4041666666666667,0.4041666666666667,0.5958333333333333,1.5958333333333334,0.0,0.270987530987531
1,decode,gate,35,blk.35.ffn_gate_exps.weight,31,30,240,97,1348730880,545112064,803618816,0.4041666666666667,0.4041666666666667,0.5958333333333333,1.5958333333333334,0.0,0.270987530987531
1,decode,down,35,blk.35.ffn_down_exps.weight,31,30,240,97,1513881600,611860480,902021120,0.4041666666666667,0.4041666666666667,0.5958333333333333,1.5958333333333334,0.0,0.270987530987531
