seq,layer,row,rank,expert_idx,weight,sort_score,logit,bias,topk_tensor,weights_tensor
101,3,12,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
102,3,12,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
103,3,12,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
104,3,12,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
105,3,13,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
106,3,13,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
107,3,13,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
108,3,13,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
109,3,13,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
110,3,13,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
111,3,13,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
112,3,13,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
113,3,14,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
114,3,14,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
115,3,14,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
116,3,14,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
117,3,14,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
118,3,14,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
119,3,14,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
