scope,key,threshold,rows,skip_block_ratio,skip_value_ratio,mean_l2_abs,mean_l2_rel,max_l2_rel,max_abs_err,mean_abs_err,mean_exact_l2
layer,57,0.2,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.860550224327945
layer,58,0.2,744,4.2002688172043014e-05,4.2002688172043014e-05,0.0013177548508064515,0.00012689406922043012,0.0944091875,0.046184659,1.2360396048387098e-05,19.47939278798387
layer,59,0.2,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.82653880510752
layer,60,0.2,768,0.00020345052083333334,0.00020345052083333334,0.007676238554687499,0.00050396370625,0.106277836,0.0684392452,7.213821397135418e-05,27.67235625545571
layer_expert,11:100:blk.11.ffn_down_exps.weight,0.1,4,0.9296875,0.9296875,0.71086857,0.8811352417499999,1.0,0.0445810575,0.0066948181075,0.8284297205
layer_expert,11:101:blk.11.ffn_down_exps.weight,0.1,7,0.7767857142857143,0.7767857142857143,0.8694992378571429,0.7827124285714285,1.0,0.0484406333,0.008203378754285715,1.2006031935714285
layer_expert,11:104:blk.11.ffn_down_exps.weight,0.1,2,1.0,1.0,0.747530516,1.0,1.0,0.0341439694,0.00706576539,0.747530516
layer_expert,11:105:blk.11.ffn_down_exps.weight,0.1,6,0.984375,0.984375,0.6398419066666666,0.978421256,1.0,0.0418022135,0.006029593820000001,0.6552368631666667
layer_expert,11:107:blk.11.ffn_down_exps.weight,0.1,1,1.0,1.0,0.388668507,1.0,1.0,0.0170678739,0.00366083392,0.388668507
layer_expert,11:109:blk.11.ffn_down_exps.weight,0.1,6,0.859375,0.859375,0.9550666204999999,0.886257338,1.0,0.0495996401,0.009002971453333333,1.1097762621666665
layer_expert,11:10:blk.11.ffn_down_exps.weight,0.1,1,0.9375,0.9375,0.59384117,0.89653916,0.89653916,0.0277693718,0.00557493337,0.662370587
layer_expert,11:110:blk.11.ffn_down_exps.weight,0.1,8,0.953125,0.953125,0.7529734376249999,0.92621244525,1.0,0.0479165987,0.0071027069025,0.822335272125
