prompt,path,window_size,history_depth,trace_events,windows_evaluated,actual_bytes,covered_bytes,false_bytes,byte_coverage,event_coverage,false_prefetch_ratio,net_byte_multiplier,avg_predicted_unique,avg_actual_unique
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,512,4,74760,146,413864951808,129038909440,1353178595328,0.3117898939648885,0.3125067341881263,3.2696138907547936,4.269613890754793,1821.3287671232877,508.54794520547944
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,1024,1,74760,73,411002339328,85385674752,331230871552,0.207749850990162,0.20820223500054247,0.8059099422489212,1.8059099422489213,1024.0,1010.082191780822
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,1024,2,74760,73,411002339328,137474211840,604620455936,0.33448522960909194,0.3352907670608658,1.4710876267141713,2.471087626714171,1823.6712328767123,1010.082191780822
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,1024,4,74760,73,411002339328,174463041536,1080913068032,0.42448186991162096,0.4252875122057068,2.629943833894771,3.629943833894771,3083.7123287671234,1010.082191780822
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,1536,1,74760,48,408069079040,128646791168,276067434496,0.3152573860059358,0.31601660657707853,0.6765213261084629,1.676521326108463,1488.4166666666667,1478.2291666666667
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,1536,2,74760,48,408069079040,158206935040,517472600064,0.38769645426747007,0.3885747842237518,1.2681004924003958,2.2681004924003956,2495.4791666666665,1478.2291666666667
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,1536,4,74760,48,408069079040,190921457664,930947153920,0.4678655342207033,0.468616846935431,2.2813469624066913,3.2813469624066913,4157.395833333333,1478.2291666666667
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,2048,1,74760,36,405284454400,125383573504,263006765056,0.309371781085517,0.31010012102541534,0.6489436300865923,1.6489436300865923,1835.7777777777778,1812.1944444444443
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,2048,2,74760,36,405284454400,161435975680,486376898560,0.3983275793763088,0.39912256573880517,1.2000877242628332,2.200087724262833,3100.0555555555557,1812.1944444444443
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,2048,4,74760,36,405284454400,199971028992,858210304000,0.49340907804629575,0.49405875233799096,2.117550512196502,3.117550512196502,5121.444444444444,1812.1944444444443
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,256,1,130120,508,723789545472,0,724772192256,0.0,0.0,1.0013576415826222,2.001357641582622,256.0,255.63779527559055
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,256,2,130120,508,723789545472,0,1448091975680,0.0,0.0,2.0007086103124982,3.0007086103124982,511.496062992126,255.63779527559055
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,256,4,130120,508,723789545472,0,2890484416512,0.0,0.0,3.993542645917948,4.993542645917948,1020.9763779527559,255.63779527559055
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,512,1,130120,254,722403196928,0,724772192256,0.0,0.0,1.0032793256426247,2.0032793256426245,512.0,510.26771653543307
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,512,2,130120,254,722403196928,73203859456,1373469655040,0.10133379775629098,0.10137491512869576,1.9012507985577063,2.9012507985577063,1021.9842519685039,510.26771653543307
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,512,4,130120,254,722403196928,243422642176,2322108006400,0.33696229918575693,0.3375331769643849,3.2144209996227886,4.214420999622789,1812.1023622047244,510.26771653543307
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,1024,1,130120,127,719540584448,157818830848,566953361408,0.21933277185340655,0.21972795439053108,0.7879379894088139,1.7879379894088139,1024.0,1016.503937007874
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,1024,2,130120,127,719540584448,263648329728,1022368514048,0.3664120348823124,0.3670446799281155,1.420862889662181,2.4208628896621813,1816.5826771653544,1016.503937007874
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,1024,4,130120,127,719540584448,348113747968,1784580145152,0.48380001836179626,0.48440695296523517,2.4801660722460173,3.4801660722460173,3011.5905511811025,1016.503937007874
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,1536,1,130120,84,716607324160,245521432576,462532001792,0.3426164152924306,0.3432075530392584,0.6454469361364334,1.6454469361364334,1482.5238095238096,1477.845238095238
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,1536,2,130120,84,716607324160,316297920512,849972494336,0.4413824836115948,0.44194456542027,1.1861063453856397,2.1861063453856397,2453.2738095238096,1477.845238095238
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,1536,4,130120,84,716607324160,372924088320,1521661919232,0.5204022841339752,0.5209512847632676,2.123425016644474,3.123425016644474,4003.9166666666665,1477.845238095238
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,2048,1,130120,63,713822699520,255036293120,431925444608,0.35728240821074414,0.35778312199387846,0.6050878529058297,1.6050878529058297,1824.888888888889,1812.2222222222222
