call,seq_id,pos,n_tokens,n_seq_tokens,source_layer,target_layer,kind,topk,ne0,ne1,record_us,values
2,0,19,1,1,29,29,actual,8,8,1,982,95|247|126|226|242|249|116|68
2,0,19,1,1,30,31,pred,4,4,1,982,56|129|371|216
2,0,19,1,1,30,30,actual,8,8,1,982,204|340|31|29|246|21|77|263
2,0,19,1,1,31,32,pred,4,4,1,982,340|37|92|354
2,0,19,1,1,31,31,actual,8,8,1,982,56|371|129|91|216|157|260|160
2,0,19,1,1,32,33,pred,4,4,1,982,277|84|130|287
2,0,19,1,1,32,32,actual,8,8,1,982,37|354|340|321|92|188|237|308
2,0,19,1,1,33,34,pred,4,4,1,982,176|246|123|175
2,0,19,1,1,33,33,actual,8,8,1,982,277|84|130|241|287|25|95|236
2,0,19,1,1,34,35,pred,4,4,1,982,349|34|265|345
2,0,19,1,1,34,34,actual,8,8,1,982,246|176|175|123|95|295|316|30
2,0,19,1,1,35,36,pred,4,4,1,982,9|23|381|47
2,0,19,1,1,35,35,actual,8,8,1,982,349|34|265|345|52|377|330|354
2,0,19,1,1,36,37,pred,4,4,1,982,111|121|333|352
2,0,19,1,1,36,36,actual,8,8,1,982,9|23|381|47|331|51|195|241
2,0,19,1,1,37,38,pred,4,4,1,982,32|270|77|56
2,0,19,1,1,37,37,actual,8,8,1,982,111|121|333|79|352|357|22|211
2,0,19,1,1,38,39,pred,4,4,1,982,72|378|136|209
2,0,19,1,1,38,38,actual,8,8,1,982,32|56|270|77|138|232|209|189
2,0,19,1,1,39,40,pred,4,4,1,982,339|48|175|156
2,0,19,1,1,39,39,actual,8,8,1,982,378|72|136|211|344|85|209|121
2,0,19,1,1,40,41,pred,4,4,1,982,179|104|27|168
2,0,19,1,1,40,40,actual,8,8,1,982,339|48|175|238|156|192|0|86
2,0,19,1,1,41,42,pred,4,4,1,982,345|367|270|304
2,0,19,1,1,41,41,actual,8,8,1,982,179|104|27|168|166|140|46|61
2,0,19,1,1,42,43,pred,4,4,1,982,259|230|203|332
2,0,19,1,1,42,42,actual,8,8,1,982,345|367|304|270|15|343|48|27
2,0,19,1,1,43,44,pred,4,4,1,982,7|81|274|195
2,0,19,1,1,43,43,actual,8,8,1,982,259|230|203|332|178|89|210|340
2,0,19,1,1,44,45,pred,4,4,1,982,11|39|177|26
2,0,19,1,1,44,44,actual,8,8,1,982,7|274|81|195|232|361|170|122
2,0,19,1,1,45,46,pred,4,4,1,982,176|269|270|96
2,0,19,1,1,45,45,actual,8,8,1,982,11|39|177|26|73|381|214|216
2,0,19,1,1,46,47,pred,4,4,1,982,121|381|0|4
2,0,19,1,1,46,46,actual,8,8,1,982,176|269|270|96|31|163|261|21
2,0,19,1,1,47,48,pred,4,4,1,982,97|308|194|101
2,0,19,1,1,47,47,actual,8,8,1,982,121|381|4|0|90|130|63|167
2,0,19,1,1,48,49,pred,4,4,1,982,32|102|274|357
2,0,19,1,1,48,48,actual,8,8,1,982,97|308|19|340|101|194|92|336
2,0,19,1,1,49,50,pred,4,4,1,982,287|168|53|274
2,0,19,1,1,49,49,actual,8,8,1,982,32|102|274|357|236|110|49|239
2,0,19,1,1,50,51,pred,4,4,1,982,72|150|170|49
2,0,19,1,1,50,50,actual,8,8,1,982,287|53|168|274|167|383|356|182
2,0,19,1,1,51,52,pred,4,4,1,982,341|92|245|339
2,0,19,1,1,51,51,actual,8,8,1,982,72|150|170|274|370|280|20|260
2,0,19,1,1,52,53,pred,4,4,1,982,132|307|325|213
2,0,19,1,1,52,52,actual,8,8,1,982,341|92|167|267|339|245|76|95
2,0,19,1,1,53,54,pred,4,4,1,982,85|299|208|29
2,0,19,1,1,53,53,actual,8,8,1,982,132|307|325|213|298|212|157|130
2,0,19,1,1,54,55,pred,4,4,1,982,14|304|154|353
2,0,19,1,1,54,54,actual,8,8,1,982,85|299|208|29|169|326|230|52
2,0,19,1,1,55,56,pred,4,4,1,982,202|372|16|213
2,0,19,1,1,55,55,actual,8,8,1,982,14|154|304|246|182|353|53|23
2,0,19,1,1,56,57,pred,4,4,1,982,300|159|192|275
2,0,19,1,1,56,56,actual,8,8,1,982,202|372|16|213|379|55|170|132
2,0,19,1,1,57,58,pred,4,4,1,982,320|172|146|368
2,0,19,1,1,57,57,actual,8,8,1,982,159|300|192|275|61|198|164|228
2,0,19,1,1,58,59,pred,4,4,1,982,66|206|322|193
2,0,19,1,1,58,58,actual,8,8,1,982,320|172|146|341|58|204|368|121
2,0,19,1,1,59,60,pred,4,4,1,982,115|366|48|329
2,0,19,1,1,59,59,actual,8,8,1,982,66|206|322|338|214|289|330|16
2,0,19,1,1,60,60,actual,8,8,1,982,366|115|168|329|45|236|48|203
3,0,20,1,1,1,2,pred,4,4,1,1181,39|246|326|376
3,0,20,1,1,1,1,actual,8,8,1,1181,187|321|197|156|255|322|151|208
3,0,20,1,1,2,3,pred,4,4,1,1181,359|241|246|284
3,0,20,1,1,2,2,actual,8,8,1,1181,246|326|39|155|160|376|61|98
3,0,20,1,1,3,4,pred,4,4,1,1181,228|127|15|139
3,0,20,1,1,3,3,actual,8,8,1,1181,359|284|241|246|217|290|30|20
3,0,20,1,1,4,5,pred,4,4,1,1181,117|168|90|7
3,0,20,1,1,4,4,actual,8,8,1,1181,228|127|139|15|149|380|79|159
3,0,20,1,1,5,6,pred,4,4,1,1181,286|167|213|174
3,0,20,1,1,5,5,actual,8,8,1,1181,117|168|113|90|7|176|346|347
3,0,20,1,1,6,7,pred,4,4,1,1181,8|161|14|228
3,0,20,1,1,6,6,actual,8,8,1,1181,286|167|23|174|107|207|37|223
3,0,20,1,1,7,8,pred,4,4,1,1181,247|78|226|101
3,0,20,1,1,7,7,actual,8,8,1,1181,8|161|14|284|33|228|232|148
3,0,20,1,1,8,9,pred,4,4,1,1181,142|259|255|51
3,0,20,1,1,8,8,actual,8,8,1,1181,78|247|226|101|294|43|222|218
3,0,20,1,1,9,10,pred,4,4,1,1181,293|35|81|326
3,0,20,1,1,9,9,actual,8,8,1,1181,142|255|259|51|2|186|11|381
3,0,20,1,1,10,11,pred,4,4,1,1181,170|175|335|227
3,0,20,1,1,10,10,actual,8,8,1,1181,293|35|81|361|326|127|156|15
3,0,20,1,1,11,12,pred,4,4,1,1181,332|320|167|102
3,0,20,1,1,11,11,actual,8,8,1,1181,170|175|335|227|214|263|173|25
3,0,20,1,1,12,13,pred,4,4,1,1181,269|64|181|303
3,0,20,1,1,12,12,actual,8,8,1,1181,332|320|167|146|328|102|342|244
3,0,20,1,1,13,14,pred,4,4,1,1181,292|66|110|185
3,0,20,1,1,13,13,actual,8,8,1,1181,269|64|181|270|303|334|79|256
3,0,20,1,1,14,15,pred,4,4,1,1181,93|82|125|230
3,0,20,1,1,14,14,actual,8,8,1,1181,66|292|185|110|123|132|286|283
3,0,20,1,1,15,16,pred,4,4,1,1181,302|309|196|280
3,0,20,1,1,15,15,actual,8,8,1,1181,82|93|230|15|125|374|130|119
3,0,20,1,1,16,17,pred,4,4,1,1181,120|28|304|14
3,0,20,1,1,16,16,actual,8,8,1,1181,302|309|196|37|280|58|188|187
3,0,20,1,1,17,18,pred,4,4,1,1181,143|211|283|152
3,0,20,1,1,17,17,actual,8,8,1,1181,120|28|304|14|114|41|121|259
3,0,20,1,1,18,19,pred,4,4,1,1181,269|180|197|146
3,0,20,1,1,18,18,actual,8,8,1,1181,143|211|283|10|156|152|245|257
3,0,20,1,1,19,20,pred,4,4,1,1181,264|248|277|55
3,0,20,1,1,19,19,actual,8,8,1,1181,269|180|146|197|24|69|160|318
3,0,20,1,1,20,21,pred,4,4,1,1181,197|3|294|205
3,0,20,1,1,20,20,actual,8,8,1,1181,277|264|248|55|25|90|42|32
3,0,20,1,1,21,22,pred,4,4,1,1181,235|319|260|137
3,0,20,1,1,21,21,actual,8,8,1,1181,197|3|294|205|173|128|330|182
3,0,20,1,1,22,23,pred,4,4,1,1181,90|270|105|71
3,0,20,1,1,22,22,actual,8,8,1,1181,260|235|319|137|309|299|53|146
3,0,20,1,1,23,24,pred,4,4,1,1181,199|101|12|285
3,0,20,1,1,23,23,actual,8,8,1,1181,90|270|105|71|258|199|241|17
3,0,20,1,1,24,25,pred,4,4,1,1181,191|52|131|185
3,0,20,1,1,24,24,actual,8,8,1,1181,199|101|12|365|283|285|263|196
3,0,20,1,1,25,26,pred,4,4,1,1181,176|355|66|119
